,d1,d2,d3,d4,d5,d6,d7,dd8,d9,d10
CEREALES,1330728,1869247,2254304,2331371,2576134,2593607,2839141,2770198,2740160,2710885
 CARNES,1072718,1754012,2131706,2514365,2965671,3228132,3708675,3943535,4183472,4724145
PESCADOS Y MARISCOS,110398,187546,213830,236001,286507,297299,333812,437266,496656,865432
LECHE Y SUS DERIVADOS,585910,895216,1242102,1395102,1582291,1783207,1966252,2123150,2360369,3091577
HUEVO,255321,360471,421613,442603,405520,404737,451280,418855,398713,365472
ACEITES Y GRASAS,135823,190052,179945,183546,193544,197424,188956,180809,182252,208958
TUBERCULOS,107231,158078,190705,201664,229090,214818,214251,224368,221747,228002
"VERDURAS, LEGUMBRES, LEGUMINOSAS",973984,1279986,1478179,1590063,1668224,1725576,1783611,1808792,1827177,1982693
FRUTAS,192462,283549,337608,468187,517938,571262,704867,765013,882037,1384251
AZUCAR Y MIELES,167042,212941,200200,191048,202397,190093,157009,173545,164273,163299
"CAFE, TE Y CHOCOLATE",71945,120338,108609,97139,124502,128589,109801,126464,143134,225452
ESPECIAS Y ADEREZOS,57580,80636,91758,108561,116499,134123,155394,152145,167650,182256
OTROS ALIMENTOS DIVERSOS,290038,448629,689605,781629,1031991,1115892,1451119,1540150,2282137,2713540